DATE,OPEN,HIGH,LOW,CLOSE,SHARES,TRADES
01-07-2021,118.00,119.65,117.35,118.90,1364031,11132
30-06-2021,120.05,120.95,117.05,117.70,2132693,24480
29-06-2021,122.80,122.80,119.15,119.45,974135,7180
28-06-2021,122.80,124.50,121.90,122.35,1646034,11253
25-06-2021,123.40,124.90,120.40,120.90,3547408,24496
24-06-2021,124.25,124.60,121.40,122.05,1891278,15551
23-06-2021,123.75,124.40,121.80,123.45,1020178,9926
22-06-2021,122.30,124.15,121.50,122.10,1623716,15995
21-06-2021,119.00,121.95,119.00,120.95,1080532,9814
18-06-2021,124.90,124.90,118.95,120.35,2151211,12581
17-06-2021,126.25,127.00,123.50,125.00,720518,5570
16-06-2021,127.00,128.20,126.05,126.65,2140665,15536
15-06-2021,125.85,128.45,124.85,125.35,2985610,19427
14-06-2021,124.05,125.80,121.30,124.85,1993057,21967
11-06-2021,123.90,126.55,122.50,123.55,1056345,6510
10-06-2021,124.70,124.75,122.55,123.90,698064,4880
09-06-2021,127.25,128.00,123.10,124.00,2012200,10862
08-06-2021,126.20,126.20,122.70,124.70,1384874,7669
07-06-2021,127.00,127.50,124.90,125.10,1503300,9225
04-06-2021,124.30,126.70,123.35,125.40,4877463,33300
03-06-2021,118.55,123.90,118.45,122.65,5138319,40830
02-06-2021,118.00,119.25,116.00,117.75,2442645,23887
01-06-2021,114.30,118.40,114.25,117.65,3603359,23687
31-05-2021,113.00,114.30,111.35,113.65,1522146,11296
28-05-2021,112.80,115.50,111.85,112.40,1022443,6221
27-05-2021,113.25,113.65,111.10,111.80,992949,7949
26-05-2021,115.10,115.45,113.00,113.25,910931,5051
25-05-2021,114.10,117.10,113.80,114.60,1935682,11984
24-05-2021,114.00,114.00,110.90,113.00,1068366,5659
21-05-2021,111.50,114.00,111.50,112.70,1002564,8003
20-05-2021,113.80,114.60,111.20,111.80,1056573,7301
19-05-2021,114.80,115.80,113.40,114.90,1610907,7093
18-05-2021,114.60,117.45,114.35,116.05,1400252,6969
17-05-2021,113.25,115.40,112.30,114.25,1254188,10356
14-05-2021,115.85,116.00,111.60,113.00,1334428,6214
12-05-2021,118.90,121.15,113.70,115.05,2562796,13948
11-05-2021,112.40,118.95,110.80,118.05,3061117,13212
10-05-2021,113.00,114.95,112.50,113.85,2864867,19714
07-05-2021,110.50,112.30,109.65,111.50,1714479,5919
06-05-2021,112.70,112.85,109.50,110.10,1404474,5733
05-05-2021,112.15,114.00,110.50,111.05,3191419,17528
04-05-2021,107.55,110.30,107.55,109.65,1705389,6127
03-05-2021,108.15,110.75,106.00,107.65,2682313,13307
30-04-2021,104.00,112.70,103.45,108.55,7734633,21774
29-04-2021,104.40,105.85,103.60,104.05,632223,4285
28-04-2021,103.80,104.35,103.30,103.85,1064315,5949
27-04-2021,103.40,104.00,102.80,103.25,312710,2305
26-04-2021,105.00,105.65,102.00,102.60,664734,6463
23-04-2021,102.60,103.60,101.50,102.35,799373,6499
22-04-2021,102.80,104.45,101.55,103.15,1147713,3449
